date,Year,Month,country,confirmed
22-01-2020,2020,22-Jan-20,Argentina,0
22-01-2020,2020,22-Jan-20,Canada,0
22-01-2020,2020,22-Jan-20,China,548
22-01-2020,2020,22-Jan-20,France,0
22-01-2020,2020,22-Jan-20,Germany,0
22-01-2020,2020,22-Jan-20,India,0
22-01-2020,2020,22-Jan-20,Iran,0
22-01-2020,2020,22-Jan-20,Iraq,0
22-01-2020,2020,22-Jan-20,Italy,0
22-01-2020,2020,22-Jan-20,Spain,0
22-01-2020,2020,22-Jan-20,US,1
22-01-2020,2020,22-Jan-20,United Kingdom,0
23-01-2020,2020,23-Jan-20,Argentina,0
23-01-2020,2020,23-Jan-20,Canada,0
23-01-2020,2020,23-Jan-20,China,643
23-01-2020,2020,23-Jan-20,France,0
23-01-2020,2020,23-Jan-20,Germany,0
23-01-2020,2020,23-Jan-20,India,0
23-01-2020,2020,23-Jan-20,Iran,0
23-01-2020,2020,23-Jan-20,Iraq,0
23-01-2020,2020,23-Jan-20,Italy,0
23-01-2020,2020,23-Jan-20,Spain,0
23-01-2020,2020,23-Jan-20,US,1
23-01-2020,2020,23-Jan-20,United Kingdom,0
24-01-2020,2020,24-Jan-20,Argentina,0
24-01-2020,2020,24-Jan-20,Canada,0
24-01-2020,2020,24-Jan-20,China,920
24-01-2020,2020,24-Jan-20,France,2
24-01-2020,2020,24-Jan-20,Germany,0
24-01-2020,2020,24-Jan-20,India,0
24-01-2020,2020,24-Jan-20,Iran,0
24-01-2020,2020,24-Jan-20,Iraq,0
24-01-2020,2020,24-Jan-20,Italy,0
24-01-2020,2020,24-Jan-20,Spain,0
24-01-2020,2020,24-Jan-20,US,2
24-01-2020,2020,24-Jan-20,United Kingdom,0
25-01-2020,2020,25-Jan-20,Argentina,0
25-01-2020,2020,25-Jan-20,Canada,0
25-01-2020,2020,25-Jan-20,China,1406
25-01-2020,2020,25-Jan-20,France,3
25-01-2020,2020,25-Jan-20,Germany,0
25-01-2020,2020,25-Jan-20,India,0
25-01-2020,2020,25-Jan-20,Iran,0
25-01-2020,2020,25-Jan-20,Iraq,0
25-01-2020,2020,25-Jan-20,Italy,0
25-01-2020,2020,25-Jan-20,Spain,0
25-01-2020,2020,25-Jan-20,US,2
25-01-2020,2020,25-Jan-20,United Kingdom,0
26-01-2020,2020,26-Jan-20,Argentina,0
26-01-2020,2020,26-Jan-20,Canada,1
26-01-2020,2020,26-Jan-20,China,2075
26-01-2020,2020,26-Jan-20,France,3
26-01-2020,2020,26-Jan-20,Germany,0
26-01-2020,2020,26-Jan-20,India,0
26-01-2020,2020,26-Jan-20,Iran,0
26-01-2020,2020,26-Jan-20,Iraq,0
26-01-2020,2020,26-Jan-20,Italy,0
26-01-2020,2020,26-Jan-20,Spain,0
26-01-2020,2020,26-Jan-20,US,5
26-01-2020,2020,26-Jan-20,United Kingdom,0
27-01-2020,2020,27-Jan-20,Argentina,0
27-01-2020,2020,27-Jan-20,Canada,1
27-01-2020,2020,27-Jan-20,China,2877
27-01-2020,2020,27-Jan-20,France,3
27-01-2020,2020,27-Jan-20,Germany,1
27-01-2020,2020,27-Jan-20,India,0
27-01-2020,2020,27-Jan-20,Iran,0
27-01-2020,2020,27-Jan-20,Iraq,0
27-01-2020,2020,27-Jan-20,Italy,0
27-01-2020,2020,27-Jan-20,Spain,0
27-01-2020,2020,27-Jan-20,US,5
27-01-2020,2020,27-Jan-20,United Kingdom,0
28-01-2020,2020,28-Jan-20,Argentina,0
28-01-2020,2020,28-Jan-20,Canada,2
28-01-2020,2020,28-Jan-20,China,5509
28-01-2020,2020,28-Jan-20,France,4
28-01-2020,2020,28-Jan-20,Germany,4
28-01-2020,2020,28-Jan-20,India,0
28-01-2020,2020,28-Jan-20,Iran,0
28-01-2020,2020,28-Jan-20,Iraq,0
28-01-2020,2020,28-Jan-20,Italy,0
28-01-2020,2020,28-Jan-20,Spain,0
28-01-2020,2020,28-Jan-20,US,5
28-01-2020,2020,28-Jan-20,United Kingdom,0
29-01-2020,2020,29-Jan-20,Argentina,0
29-01-2020,2020,29-Jan-20,Canada,2
29-01-2020,2020,29-Jan-20,China,6087
29-01-2020,2020,29-Jan-20,France,5
29-01-2020,2020,29-Jan-20,Germany,4
29-01-2020,2020,29-Jan-20,India,0
29-01-2020,2020,29-Jan-20,Iran,0
29-01-2020,2020,29-Jan-20,Iraq,0
29-01-2020,2020,29-Jan-20,Italy,0
29-01-2020,2020,29-Jan-20,Spain,0
29-01-2020,2020,29-Jan-20,US,5
29-01-2020,2020,29-Jan-20,United Kingdom,0
30-01-2020,2020,30-Jan-20,Argentina,0
30-01-2020,2020,30-Jan-20,Canada,2
30-01-2020,2020,30-Jan-20,China,8141
30-01-2020,2020,30-Jan-20,France,5
30-01-2020,2020,30-Jan-20,Germany,4
30-01-2020,2020,30-Jan-20,India,1
30-01-2020,2020,30-Jan-20,Iran,0
30-01-2020,2020,30-Jan-20,Iraq,0
30-01-2020,2020,30-Jan-20,Italy,0
30-01-2020,2020,30-Jan-20,Spain,0
30-01-2020,2020,30-Jan-20,US,5
30-01-2020,2020,30-Jan-20,United Kingdom,0
31-01-2020,2020,31-Jan-20,Argentina,0
31-01-2020,2020,31-Jan-20,Canada,4
31-01-2020,2020,31-Jan-20,China,9802
31-01-2020,2020,31-Jan-20,France,5
31-01-2020,2020,31-Jan-20,Germany,5
31-01-2020,2020,31-Jan-20,India,1
31-01-2020,2020,31-Jan-20,Iran,0
31-01-2020,2020,31-Jan-20,Iraq,0
31-01-2020,2020,31-Jan-20,Italy,2
31-01-2020,2020,31-Jan-20,Spain,0
31-01-2020,2020,31-Jan-20,US,7
31-01-2020,2020,31-Jan-20,United Kingdom,2
01-02-2020,2020,1-Feb-20,Argentina,0
01-02-2020,2020,1-Feb-20,Canada,4
01-02-2020,2020,1-Feb-20,China,11891
01-02-2020,2020,1-Feb-20,France,6
01-02-2020,2020,1-Feb-20,Germany,8
01-02-2020,2020,1-Feb-20,India,1
01-02-2020,2020,1-Feb-20,Iran,0
01-02-2020,2020,1-Feb-20,Iraq,0
01-02-2020,2020,1-Feb-20,Italy,2
01-02-2020,2020,1-Feb-20,Spain,1
01-02-2020,2020,1-Feb-20,US,8
01-02-2020,2020,1-Feb-20,United Kingdom,2
02-02-2020,2020,2-Feb-20,Argentina,0
02-02-2020,2020,2-Feb-20,Canada,4
02-02-2020,2020,2-Feb-20,China,16630
02-02-2020,2020,2-Feb-20,France,6
02-02-2020,2020,2-Feb-20,Germany,10
02-02-2020,2020,2-Feb-20,India,2
02-02-2020,2020,2-Feb-20,Iran,0
02-02-2020,2020,2-Feb-20,Iraq,0
02-02-2020,2020,2-Feb-20,Italy,2
02-02-2020,2020,2-Feb-20,Spain,1
02-02-2020,2020,2-Feb-20,US,8
02-02-2020,2020,2-Feb-20,United Kingdom,2
03-02-2020,2020,3-Feb-20,Argentina,0
03-02-2020,2020,3-Feb-20,Canada,4
03-02-2020,2020,3-Feb-20,China,19716
03-02-2020,2020,3-Feb-20,France,6
03-02-2020,2020,3-Feb-20,Germany,12
03-02-2020,2020,3-Feb-20,India,3
03-02-2020,2020,3-Feb-20,Iran,0
03-02-2020,2020,3-Feb-20,Iraq,0
03-02-2020,2020,3-Feb-20,Italy,2
03-02-2020,2020,3-Feb-20,Spain,1
03-02-2020,2020,3-Feb-20,US,11
03-02-2020,2020,3-Feb-20,United Kingdom,2
04-02-2020,2020,4-Feb-20,Argentina,0
04-02-2020,2020,4-Feb-20,Canada,4
04-02-2020,2020,4-Feb-20,China,23707
04-02-2020,2020,4-Feb-20,France,6
04-02-2020,2020,4-Feb-20,Germany,12
04-02-2020,2020,4-Feb-20,India,3
04-02-2020,2020,4-Feb-20,Iran,0
04-02-2020,2020,4-Feb-20,Iraq,0
04-02-2020,2020,4-Feb-20,Italy,2
04-02-2020,2020,4-Feb-20,Spain,1
04-02-2020,2020,4-Feb-20,US,11
04-02-2020,2020,4-Feb-20,United Kingdom,2
05-02-2020,2020,5-Feb-20,Argentina,0
05-02-2020,2020,5-Feb-20,Canada,5
05-02-2020,2020,5-Feb-20,China,27440
05-02-2020,2020,5-Feb-20,France,6
05-02-2020,2020,5-Feb-20,Germany,12
05-02-2020,2020,5-Feb-20,India,3
05-02-2020,2020,5-Feb-20,Iran,0
05-02-2020,2020,5-Feb-20,Iraq,0
05-02-2020,2020,5-Feb-20,Italy,2
05-02-2020,2020,5-Feb-20,Spain,1
05-02-2020,2020,5-Feb-20,US,11
05-02-2020,2020,5-Feb-20,United Kingdom,2
06-02-2020,2020,6-Feb-20,Argentina,0
06-02-2020,2020,6-Feb-20,Canada,5
06-02-2020,2020,6-Feb-20,China,30587
06-02-2020,2020,6-Feb-20,France,6
06-02-2020,2020,6-Feb-20,Germany,12
06-02-2020,2020,6-Feb-20,India,3
06-02-2020,2020,6-Feb-20,Iran,0
06-02-2020,2020,6-Feb-20,Iraq,0
06-02-2020,2020,6-Feb-20,Italy,2
06-02-2020,2020,6-Feb-20,Spain,1
06-02-2020,2020,6-Feb-20,US,11
06-02-2020,2020,6-Feb-20,United Kingdom,2
07-02-2020,2020,7-Feb-20,Argentina,0
07-02-2020,2020,7-Feb-20,Canada,7
07-02-2020,2020,7-Feb-20,China,34110
07-02-2020,2020,7-Feb-20,France,6
07-02-2020,2020,7-Feb-20,Germany,13
07-02-2020,2020,7-Feb-20,India,3
07-02-2020,2020,7-Feb-20,Iran,0
07-02-2020,2020,7-Feb-20,Iraq,0
07-02-2020,2020,7-Feb-20,Italy,3
07-02-2020,2020,7-Feb-20,Spain,1
07-02-2020,2020,7-Feb-20,US,11
07-02-2020,2020,7-Feb-20,United Kingdom,3
08-02-2020,2020,8-Feb-20,Argentina,0
08-02-2020,2020,8-Feb-20,Canada,7
08-02-2020,2020,8-Feb-20,China,36814
08-02-2020,2020,8-Feb-20,France,11
08-02-2020,2020,8-Feb-20,Germany,13
08-02-2020,2020,8-Feb-20,India,3
08-02-2020,2020,8-Feb-20,Iran,0
08-02-2020,2020,8-Feb-20,Iraq,0
08-02-2020,2020,8-Feb-20,Italy,3
08-02-2020,2020,8-Feb-20,Spain,1
08-02-2020,2020,8-Feb-20,US,11
08-02-2020,2020,8-Feb-20,United Kingdom,3
09-02-2020,2020,9-Feb-20,Argentina,0
09-02-2020,2020,9-Feb-20,Canada,7
09-02-2020,2020,9-Feb-20,China,39829
09-02-2020,2020,9-Feb-20,France,11
09-02-2020,2020,9-Feb-20,Germany,14
09-02-2020,2020,9-Feb-20,India,3
09-02-2020,2020,9-Feb-20,Iran,0
09-02-2020,2020,9-Feb-20,Iraq,0
09-02-2020,2020,9-Feb-20,Italy,3
09-02-2020,2020,9-Feb-20,Spain,2
09-02-2020,2020,9-Feb-20,US,11
09-02-2020,2020,9-Feb-20,United Kingdom,3
10-02-2020,2020,10-Feb-20,Argentina,0
10-02-2020,2020,10-Feb-20,Canada,7
10-02-2020,2020,10-Feb-20,China,42354
10-02-2020,2020,10-Feb-20,France,11
10-02-2020,2020,10-Feb-20,Germany,14
10-02-2020,2020,10-Feb-20,India,3
10-02-2020,2020,10-Feb-20,Iran,0
10-02-2020,2020,10-Feb-20,Iraq,0
10-02-2020,2020,10-Feb-20,Italy,3
10-02-2020,2020,10-Feb-20,Spain,2
10-02-2020,2020,10-Feb-20,US,11
10-02-2020,2020,10-Feb-20,United Kingdom,8
11-02-2020,2020,11-Feb-20,Argentina,0
11-02-2020,2020,11-Feb-20,Canada,7
11-02-2020,2020,11-Feb-20,China,44386
11-02-2020,2020,11-Feb-20,France,11
11-02-2020,2020,11-Feb-20,Germany,16
11-02-2020,2020,11-Feb-20,India,3
11-02-2020,2020,11-Feb-20,Iran,0
11-02-2020,2020,11-Feb-20,Iraq,0
11-02-2020,2020,11-Feb-20,Italy,3
11-02-2020,2020,11-Feb-20,Spain,2
11-02-2020,2020,11-Feb-20,US,12
11-02-2020,2020,11-Feb-20,United Kingdom,8
12-02-2020,2020,12-Feb-20,Argentina,0
12-02-2020,2020,12-Feb-20,Canada,7
12-02-2020,2020,12-Feb-20,China,46267
12-02-2020,2020,12-Feb-20,France,11
12-02-2020,2020,12-Feb-20,Germany,16
12-02-2020,2020,12-Feb-20,India,3
12-02-2020,2020,12-Feb-20,Iran,0
12-02-2020,2020,12-Feb-20,Iraq,0
12-02-2020,2020,12-Feb-20,Italy,3
12-02-2020,2020,12-Feb-20,Spain,2
12-02-2020,2020,12-Feb-20,US,12
12-02-2020,2020,12-Feb-20,United Kingdom,9
13-02-2020,2020,13-Feb-20,Argentina,0
13-02-2020,2020,13-Feb-20,Canada,7
13-02-2020,2020,13-Feb-20,China,59895
13-02-2020,2020,13-Feb-20,France,11
13-02-2020,2020,13-Feb-20,Germany,16
13-02-2020,2020,13-Feb-20,India,3
13-02-2020,2020,13-Feb-20,Iran,0
13-02-2020,2020,13-Feb-20,Iraq,0
13-02-2020,2020,13-Feb-20,Italy,3
13-02-2020,2020,13-Feb-20,Spain,2
13-02-2020,2020,13-Feb-20,US,13
13-02-2020,2020,13-Feb-20,United Kingdom,9
14-02-2020,2020,14-Feb-20,Argentina,0
14-02-2020,2020,14-Feb-20,Canada,7
14-02-2020,2020,14-Feb-20,China,66358
14-02-2020,2020,14-Feb-20,France,11
14-02-2020,2020,14-Feb-20,Germany,16
14-02-2020,2020,14-Feb-20,India,3
14-02-2020,2020,14-Feb-20,Iran,0
14-02-2020,2020,14-Feb-20,Iraq,0
14-02-2020,2020,14-Feb-20,Italy,3
14-02-2020,2020,14-Feb-20,Spain,2
14-02-2020,2020,14-Feb-20,US,13
14-02-2020,2020,14-Feb-20,United Kingdom,9
15-02-2020,2020,15-Feb-20,Argentina,0
15-02-2020,2020,15-Feb-20,Canada,7
15-02-2020,2020,15-Feb-20,China,68413
15-02-2020,2020,15-Feb-20,France,12
15-02-2020,2020,15-Feb-20,Germany,16
15-02-2020,2020,15-Feb-20,India,3
15-02-2020,2020,15-Feb-20,Iran,0
15-02-2020,2020,15-Feb-20,Iraq,0
15-02-2020,2020,15-Feb-20,Italy,3
15-02-2020,2020,15-Feb-20,Spain,2
15-02-2020,2020,15-Feb-20,US,13
15-02-2020,2020,15-Feb-20,United Kingdom,9
16-02-2020,2020,16-Feb-20,Argentina,0
16-02-2020,2020,16-Feb-20,Canada,7
16-02-2020,2020,16-Feb-20,China,70513
16-02-2020,2020,16-Feb-20,France,12
16-02-2020,2020,16-Feb-20,Germany,16
16-02-2020,2020,16-Feb-20,India,3
16-02-2020,2020,16-Feb-20,Iran,0
16-02-2020,2020,16-Feb-20,Iraq,0
16-02-2020,2020,16-Feb-20,Italy,3
16-02-2020,2020,16-Feb-20,Spain,2
16-02-2020,2020,16-Feb-20,US,13
16-02-2020,2020,16-Feb-20,United Kingdom,9
17-02-2020,2020,17-Feb-20,Argentina,0
17-02-2020,2020,17-Feb-20,Canada,8
17-02-2020,2020,17-Feb-20,China,72434
17-02-2020,2020,17-Feb-20,France,12
17-02-2020,2020,17-Feb-20,Germany,16
17-02-2020,2020,17-Feb-20,India,3
17-02-2020,2020,17-Feb-20,Iran,0
17-02-2020,2020,17-Feb-20,Iraq,0
17-02-2020,2020,17-Feb-20,Italy,3
17-02-2020,2020,17-Feb-20,Spain,2
17-02-2020,2020,17-Feb-20,US,13
17-02-2020,2020,17-Feb-20,United Kingdom,9
18-02-2020,2020,18-Feb-20,Argentina,0
18-02-2020,2020,18-Feb-20,Canada,8
18-02-2020,2020,18-Feb-20,China,74211
18-02-2020,2020,18-Feb-20,France,12
18-02-2020,2020,18-Feb-20,Germany,16
18-02-2020,2020,18-Feb-20,India,3
18-02-2020,2020,18-Feb-20,Iran,0
18-02-2020,2020,18-Feb-20,Iraq,0
18-02-2020,2020,18-Feb-20,Italy,3
18-02-2020,2020,18-Feb-20,Spain,2
18-02-2020,2020,18-Feb-20,US,13
18-02-2020,2020,18-Feb-20,United Kingdom,9
19-02-2020,2020,19-Feb-20,Argentina,0
19-02-2020,2020,19-Feb-20,Canada,8
19-02-2020,2020,19-Feb-20,China,74619
19-02-2020,2020,19-Feb-20,France,12
19-02-2020,2020,19-Feb-20,Germany,16
19-02-2020,2020,19-Feb-20,India,3
19-02-2020,2020,19-Feb-20,Iran,2
19-02-2020,2020,19-Feb-20,Iraq,0
19-02-2020,2020,19-Feb-20,Italy,3
19-02-2020,2020,19-Feb-20,Spain,2
19-02-2020,2020,19-Feb-20,US,13
19-02-2020,2020,19-Feb-20,United Kingdom,9
20-02-2020,2020,20-Feb-20,Argentina,0
20-02-2020,2020,20-Feb-20,Canada,8
20-02-2020,2020,20-Feb-20,China,75077
20-02-2020,2020,20-Feb-20,France,12
20-02-2020,2020,20-Feb-20,Germany,16
20-02-2020,2020,20-Feb-20,India,3
20-02-2020,2020,20-Feb-20,Iran,5
20-02-2020,2020,20-Feb-20,Iraq,0
20-02-2020,2020,20-Feb-20,Italy,3
20-02-2020,2020,20-Feb-20,Spain,2
20-02-2020,2020,20-Feb-20,US,13
20-02-2020,2020,20-Feb-20,United Kingdom,9
21-02-2020,2020,21-Feb-20,Argentina,0
21-02-2020,2020,21-Feb-20,Canada,9
21-02-2020,2020,21-Feb-20,China,75550
21-02-2020,2020,21-Feb-20,France,12
21-02-2020,2020,21-Feb-20,Germany,16
21-02-2020,2020,21-Feb-20,India,3
21-02-2020,2020,21-Feb-20,Iran,18
21-02-2020,2020,21-Feb-20,Iraq,0
21-02-2020,2020,21-Feb-20,Italy,20
21-02-2020,2020,21-Feb-20,Spain,2
21-02-2020,2020,21-Feb-20,US,15
21-02-2020,2020,21-Feb-20,United Kingdom,9
22-02-2020,2020,22-Feb-20,Argentina,0
22-02-2020,2020,22-Feb-20,Canada,9
22-02-2020,2020,22-Feb-20,China,77001
22-02-2020,2020,22-Feb-20,France,12
22-02-2020,2020,22-Feb-20,Germany,16
22-02-2020,2020,22-Feb-20,India,3
22-02-2020,2020,22-Feb-20,Iran,28
22-02-2020,2020,22-Feb-20,Iraq,0
22-02-2020,2020,22-Feb-20,Italy,62
22-02-2020,2020,22-Feb-20,Spain,2
22-02-2020,2020,22-Feb-20,US,15
22-02-2020,2020,22-Feb-20,United Kingdom,9
23-02-2020,2020,23-Feb-20,Argentina,0
23-02-2020,2020,23-Feb-20,Canada,9
23-02-2020,2020,23-Feb-20,China,77022
23-02-2020,2020,23-Feb-20,France,12
23-02-2020,2020,23-Feb-20,Germany,16
23-02-2020,2020,23-Feb-20,India,3
23-02-2020,2020,23-Feb-20,Iran,43
23-02-2020,2020,23-Feb-20,Iraq,0
23-02-2020,2020,23-Feb-20,Italy,155
23-02-2020,2020,23-Feb-20,Spain,2
23-02-2020,2020,23-Feb-20,US,15
23-02-2020,2020,23-Feb-20,United Kingdom,9
24-02-2020,2020,24-Feb-20,Argentina,0
24-02-2020,2020,24-Feb-20,Canada,10
24-02-2020,2020,24-Feb-20,China,77241
24-02-2020,2020,24-Feb-20,France,12
24-02-2020,2020,24-Feb-20,Germany,16
24-02-2020,2020,24-Feb-20,India,3
24-02-2020,2020,24-Feb-20,Iran,61
24-02-2020,2020,24-Feb-20,Iraq,1
24-02-2020,2020,24-Feb-20,Italy,229
24-02-2020,2020,24-Feb-20,Spain,2
24-02-2020,2020,24-Feb-20,US,15
24-02-2020,2020,24-Feb-20,United Kingdom,13
25-02-2020,2020,25-Feb-20,Argentina,0
25-02-2020,2020,25-Feb-20,Canada,11
25-02-2020,2020,25-Feb-20,China,77754
25-02-2020,2020,25-Feb-20,France,14
25-02-2020,2020,25-Feb-20,Germany,17
25-02-2020,2020,25-Feb-20,India,3
25-02-2020,2020,25-Feb-20,Iran,95
25-02-2020,2020,25-Feb-20,Iraq,1
25-02-2020,2020,25-Feb-20,Italy,322
25-02-2020,2020,25-Feb-20,Spain,6
25-02-2020,2020,25-Feb-20,US,15
25-02-2020,2020,25-Feb-20,United Kingdom,13
26-02-2020,2020,26-Feb-20,Argentina,0
26-02-2020,2020,26-Feb-20,Canada,11
26-02-2020,2020,26-Feb-20,China,78166
26-02-2020,2020,26-Feb-20,France,18
26-02-2020,2020,26-Feb-20,Germany,27
26-02-2020,2020,26-Feb-20,India,3
26-02-2020,2020,26-Feb-20,Iran,139
26-02-2020,2020,26-Feb-20,Iraq,5
26-02-2020,2020,26-Feb-20,Italy,453
26-02-2020,2020,26-Feb-20,Spain,13
26-02-2020,2020,26-Feb-20,US,15
26-02-2020,2020,26-Feb-20,United Kingdom,13
27-02-2020,2020,27-Feb-20,Argentina,0
27-02-2020,2020,27-Feb-20,Canada,13
27-02-2020,2020,27-Feb-20,China,78600
27-02-2020,2020,27-Feb-20,France,38
27-02-2020,2020,27-Feb-20,Germany,46
27-02-2020,2020,27-Feb-20,India,3
27-02-2020,2020,27-Feb-20,Iran,245
27-02-2020,2020,27-Feb-20,Iraq,7
27-02-2020,2020,27-Feb-20,Italy,655
27-02-2020,2020,27-Feb-20,Spain,15
27-02-2020,2020,27-Feb-20,US,16
27-02-2020,2020,27-Feb-20,United Kingdom,15
28-02-2020,2020,28-Feb-20,Argentina,0
28-02-2020,2020,28-Feb-20,Canada,14
28-02-2020,2020,28-Feb-20,China,78928
28-02-2020,2020,28-Feb-20,France,57
28-02-2020,2020,28-Feb-20,Germany,48
28-02-2020,2020,28-Feb-20,India,3
28-02-2020,2020,28-Feb-20,Iran,388
28-02-2020,2020,28-Feb-20,Iraq,7
28-02-2020,2020,28-Feb-20,Italy,888
28-02-2020,2020,28-Feb-20,Spain,32
28-02-2020,2020,28-Feb-20,US,16
28-02-2020,2020,28-Feb-20,United Kingdom,20
29-02-2020,2020,29-Feb-20,Argentina,0
29-02-2020,2020,29-Feb-20,Canada,20
29-02-2020,2020,29-Feb-20,China,79356
29-02-2020,2020,29-Feb-20,France,100
29-02-2020,2020,29-Feb-20,Germany,79
29-02-2020,2020,29-Feb-20,India,3
29-02-2020,2020,29-Feb-20,Iran,593
29-02-2020,2020,29-Feb-20,Iraq,13
29-02-2020,2020,29-Feb-20,Italy,1128
29-02-2020,2020,29-Feb-20,Spain,45
29-02-2020,2020,29-Feb-20,US,24
29-02-2020,2020,29-Feb-20,United Kingdom,23